username,email,picture,cv,cl,numberCourse
goshor1,goshor1@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor2,goshor2@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor3,goshor3@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor4,goshor4@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor5,goshor5@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor6,goshor6@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor7,goshor7@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor8,goshor8@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor9,goshor9@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor10,goshor10@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor11,goshor11@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
goshor12,goshor12@test.com,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\picture.jpg,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CV.docx,C:\MyStaff\RedcurrantTFS\TelerikSystemPerformanceTesting\PerformanceTesting\FilesToApply\CL.docx,199
